OBJECTID,LONGITUDE,LATITUDE,COUNTRY,NAME,NAME2,N_TURBINES,POWER_MW,STATUS,YEAR,COAST_DIST_M,NOTES,
255,11.97,37.21,Italy,Seawind Mazara,Seawind Mazara,,798,Planned,,40802.295, ,
256,12.56,37.15,Italy,Sicilia 495 MW,Sicilia 495 MW,,495,Planned,,46335.65345, ,
257,13.41,35.92,Italy,Sicilia A,Sicilia A,,1020,Planned,,48857.75475, ,
258,13.41,35.92,Italy,Sicilia B,Sicilia B,,1005,Planned,,48857.75475, ,
259,12.08,37.34,Italy,Sicily,Sicily,,504,Planned,,52663.39862, ,
260,13.21,37.16,Italy,Sicily South - AvenHexicon,Sicily South - AvenHexicon,,1200,Planned,,24616.52451, ,
261,17.135,40.485,Italy,Taranto Offshore,Taranto Offshore,10,30,Production,2022,1422.356469, ,
262,8.59,38.53,Italy,Thalassa,Thalassa,,525,Planned,,37188.42988, ,
263,9.51,41.37,Italy,Tibula Energia,Tibula Energia,,975,Planned,,12021.75123, ,
264,11.88,37.4,Italy,Trinacria,Trinacria,56,840,Planned,,62031.71918, ,
265,12.82,44.96,Italy,Veneto 1,Veneto 1,,500,Planned,,21020.94931, ,
266,18.02,40.9,Italy,Vieste,Vieste,,1200,Planned,,24919.04805, ,
267,9.61,40.95,Italy,Zefiro,Zefiro,168,2016,Planned,,1988.268461, ,
268,20.95,56.73,Latvia,JK Energy,JK Energy,,900,Planned,,6683.840607, ,
269,20.3,55.6,Latvia,Kurzeme Offshore,Kurzeme Offshore,,1000,Planned,,50647.39834, ,
270,5.588,52.598,Netherlands,Irene Vorrink I,Irene Vorrink I,19,11.4,Dismantled,1996,6875.12849,2022,
271,5.588,52.598,Netherlands,Irene Vorrink II,Irene Vorrink II,9,5.4,Dismantled,1997,6875.12849,2022,
272,5.12,52.8,Netherlands,Lely,Lely,4,2,Dismantled,1997,15813.80547,2016,
273,5.58,52.72,Netherlands,Westermeerdijk buitendijks,Westermeerdijk buitendijks,48,144,Production,2016,6769.24356, ,
274,5.26,53,Netherlands,Windpark Fryslan,Windpark Fryslân,89,382.7,Production,2021,4100.121942, ,
275,5.58,52.6,Netherlands,Windplanblauw,Windplanblauw,24,132,Construction,,6714.939265, ,
276,4.99,59.14,Norway,Bluewater - Metcentre,Bluewater - Metcentre,,15,Planned,,10442.38513, ,
277,7.76,64.32,Norway,Draugen,Draugen,,0,Planned,,58897.11242, ,
278,5.01,59.15,Norway,Flagship - Metcentre,Flagship - Metcentre,,10,Approved,,9225.51976, ,
279,22.12,71.84,Norway,GoliatVind,GoliatVind,,75,Planned,,107132.5416, ,
280,5.03,59.14,Norway,Hywind Metcentre,Hywind Metcentre,1,2.3,Production,2009,8167.630057, ,
281,2.7,61.33,Norway,Hywind Tampen,Hywind Tampen,11,88,Production,2023,100489.0735, ,
282,5.078,59.156,Norway,Marine Energy Test Centre Karmoy Fixed,Marine Energy Test Centre Karmoy Fixed,2,10,Test site,2019,5360.022566, ,
283,5.078,59.156,Norway,Marine Energy Test Centre Karmoy Floating,Marine Energy Test Centre Karmoy Floating,2,10,Test site,2019,5360.022566, ,
284,5.2,59.4,Norway,SeaTwirl S2,SeaTwirl S2,1,1,Approved,,374.2737102, ,
285,4.92,56.78,Norway,Sorlige Nordsjo II,Sorlige Nordsjo II,,1000,Planned,,176650.0102, ,
286,5,59.15,Norway,TetraSpar Demonstrator,TetraSpar Demonstrator,,3.6,Production,2021,9479.077309, ,
287,5,59.14,Norway,TwinWay - Metcentre,TwinWay - Metcentre,,6,Planned,,9872.900814, ,
288,4.43,59.41,Norway,Utsira Nord,Utsira Nord,,500,Planned,,26725.94109, ,
289,4.49,59.27,Norway,Utsira Nord,Utsira Nord,,500,Planned,,20316.07671, ,
290,4.54,59.13,Norway,Utsira Nord,Utsira Nord,,500,Planned,,24388.41443, ,
291,5.54,58.98,Norway,WIN WIN prototype,WIN WIN prototype,,6,Planned,,1373.629067, ,
292,4.96,62.01,Norway,Windcatcher,Windcatcher,,75,Planned,,1267.844529, ,
293,15.16,54.37,Poland,Licence Application No. 76,Licence Application No. 76,,14,Planned,,26149.80157, ,
294,-8.79,41.36,Portugal,Aguçadoura,Aguçadoura,,1000,Planned,,2360.228051, ,
295,-9.46,40.33,Portugal,Botafogo,Botafogo,,990,Planned,,49845.67715, ,
296,-9.14,41.61,Portugal,Creoula,Creoula,,1440,Planned,,25435.73895, ,
297,-9.09,40.11,Portugal,Nortada,Nortada,,2000,Planned,,17265.34408, ,
298,-16.4,33.13,Portugal,Offshore Island Porto Santo,Offshore Island Porto Santo,,10,Planned,,4065.208957, ,
299,-9.05,41.72,Portugal,Viana do Castelo,Viana do Castelo,,600,Planned,,14473.39584, ,
300,-8.91,41.48,Portugal,WavEC,WavEC,,2,Planned,,10325.87023, ,
301,-9.12,39.88,Portugal,WindFloat Atlantic,WindFloat Atlantic,3,25,Production,2020,11992.72087, ,
302,-8.85,41.46,Portugal,WindFloat Prototype,WindFloat Prototype,1,2,Dismantled,2012,6019.182706,2016,
303,28.67,43.89,Romania,Black Sea 1,Black Sea 1,,500,Planned,,4083.551254, ,
304,28.69,43.94,Romania,Black Sea 2,Black Sea 2,,1400,Planned,,4118.987119, ,
305,-3.71,36.66,Spain,Albaicin,Albaicin,,510,Planned,,6912.988645, ,
306,-15.38,27.82,Spain,Alisio Offshore,Alisio Offshore,,49.9,Planned,,3959.873127, ,
307,-6.18,36.23,Spain,Almadraba,Almadraba,,495,Planned,,7960.790573, ,
308,-2.41,36.77,Spain,Alwind,Alwind,,300,Planned,,4836.639196, ,
309,-15.47,27.7,Spain,Andamana,Andamana,,240,Planned,,9573.47496, ,
310,-15.39,28.05,Spain,Archime 3,Archime 3,,1.5,Planned,,2138.234592, ,
311,-15.56,27.65,Spain,Atlantida,Atlantida,,300,Planned,,9433.525535, ,
312,-15.38,28.09,Spain,Bandama Offshore,Bandama Offshore,,195,Planned,,2876.103465, ,
313,-8.42,43.43,Spain,Breogan,Breogan,,510,Planned,,4756.971147, ,
314,-15.35,27.83,Spain,Cabildo,Cabildo,,49.9,Planned,,5149.766499, ,
315,-15.39,27.78,Spain,CanArray,CanArray,,48,Planned,,5205.567661, ,
316,-15.38,27.78,Spain,CanArray II,CanArray II,,132,Planned,,6053.231409, ,
317,-15.45,28.34,Spain,Canary Island Test Area,Canary Island Test Area,,310,Test site,,20234.40281, ,
318,-15.6,28.23,Spain,Canawind 1,Canawind 1,,250,Planned,,8533.283903, ,
319,-15.57,28.22,Spain,Canawind 2,Canawind 2,,250,Planned,,8207.455265, ,
320,-9.31,41.91,Spain,Celta II,Celta II,,510,Planned,,35102.80538, ,
321,-15.35,27.84,Spain,Colombino,Colombino,,49.9,Planned,,4623.878751, ,
322,3.15,41.63,Spain,Creus,Creus,,510,Planned,,18611.49727, ,
323,-15.36,28.04,Spain,Elican,Elican,1,5,Production,2018,3211.174072, ,
324,-15.35,28.05,Spain,Floating Power Plant - PLOCAN,Floating Power Plant - PLOCAN,,8,Approved,,4643.189864, ,
325,-15.392,27.765,Spain,Flocan 5,Flocan 5,5,25,Planned,,6224.221359, ,
326,-15.59,28.65,Spain,FLOTANT,FLOTANT,,10,Planned,,54037.35598, ,
327,-9.35,43.11,Spain,Galwind,Galwind,,1000,Planned,,7371.829206, ,
328,-15.4,27.85,Spain,Gamesa 5MW Test Turbine,Gamesa 5MW Test Turbine,1,4.5,Test site,2013,22.36593438, ,
329,-2.87,43.52,Spain,GEROA,GEROA,,45,Planned,,9344.529923, ,
330,-15.37,27.79,Spain,Gofio,Gofio,,50,Planned,,6469.002336, ,
331,-15.48,27.65,Spain,Gran Canaria Offshore,Gran Canaria Offshore,,210,Planned,,14009.81806, ,
332,-16.26,28.43,Spain,Granadilla,Granadilla,,50,Planned,,1082.323589, ,
333,-15.56,27.67,Spain,Guanche,Guanche,,50,Planned,,7332.08511, ,
334,-1.84,36.87,Spain,Mar de Agata,Mar de Agata,,300,Planned,,9514.412806, ,
335,-15.3,27.91,Spain,Marino Drago,Marino Drago,,260,Planned,,8347.726317, ,
336,-15.92,27.91,Spain,Marino Maresia,Marino Maresia,,254,Planned,,9727.838334, ,
337,3.43,42.28,Spain,Medfloat Pilot Parc,Medfloat Pilot Parc,,50,Planned,,10028.18534, ,
338,-16.72,28.43,Spain,Mencey,Mencey,,150,Planned,,6918.857716, ,
339,-15.35,28.05,Spain,Multiplat 2,Multiplat 2,,10,Planned,,4643.189864, ,
340,-18.08,27.65,Spain,Musica 4,Musica 4,,0,Planned,,4560.567976, ,
341,-4.34,36.64,Spain,Nao Victoria,Nao Victoria,,990,Planned,,7992.516706, ,
342,-2.85,43.59,Spain,Nautilus (ES),Nautilus (ES),,2,Planned,,16461.40101, ,
343,-8.45,44.13,Spain,Nordes Phase 1,Nordes Phase 1,,525,Planned,,56960.28129, ,
344,-8.45,44.13,Spain,Nordes Phase 2,Nordes Phase 2,,675,Planned,,56960.28129, ,
345,0.198,39.29,Spain,Ocean H2,Ocean H2,,6,Planned,,37629.06633, ,
346,-15.38,28.05,Spain,Pivot Buoy - PLOCAN,Pivot Buoy - PLOCAN,,0.22,Construction,,2796.178625, ,
347,-15.36,28.04,Spain,Plocan,Plocan,5,50,Production,2017,3211.174072, ,
348,-15.59,28.64,Spain,PLOCAN hybrid floating,PLOCAN hybrid floating,,2,Planned,,52946.79103, ,
349,-15.37,28.04,Spain,PLOCAN W2Power WIP10 Scale prototype,PLOCAN W2Power WIP10 Scale prototype,1,0.2,Dismantled,,2592.062956, ,
350,-15.35,27.86,Spain,Sahariano,Sahariano,,49.9,Planned,,4137.384509, ,
351,-15.53,27.66,Spain,Salinas I,Salinas I,,49.9,Planned,,9791.659921, ,
352,-15.51,27.68,Spain,San Augustin I,San Augustin I,,49.9,Planned,,9420.232152, ,
353,-15.34,27.84,Spain,San Borondon,San Borondón,,238,Planned,,5579.290492, ,
